T17,397776.198,4929648.096,0.18717048829205396
T16,397773.015,4929645.029,0.1211794750066808
T15,397758.423,4929637.751,1.0582377165982173
T14,397742.188,4929652.87,1.7753608584482734
T13,397737.112,4929664.401,1.5454164580116014
T12,397735.326,4929673.802,1.4754494497896857
T11,397734.376,4929680.582,1.3384714704206004
T10,397731.401,4929696.489,2.092527047840182
T9,397746.733,4929691.047,0.166432959544629
T8,397768.207,4929626.535,1.1511582167905878
T7,397754.633,4929641.637,1.1532673595193863
T6,397742.788,4929671.514,0.8774045638266763
T5,397735.902,4929698.189,1.4405077132979152
T4,397740.568,4929707.256,0.6985060265813452
T3,397749.319,4929718.912,0.1974894210079441
T2,397736.5,4929715.386,1.0125477929603477
T1,397732.079,4929715.045,1.788570123153594
